ids,artists,mediums,titles,descriptions,urls
ger_1,Gerhard Richter,Oil on canvas,Woman Descending the Staircase (Frau die Treppe herabgehend),"Throughout his career, Gerhard Richter has alternated between figuration and abstraction. Woman Descending the Staircase is one of Richter’s photo paintings, figurative works in which the artist transferred found photographs, such as personal snapshots or media images, onto canvas and then dragged a dry brush through the wet pigment, thus blurring the image and rendering the forms elusive. Here, the slightly out-of-focus quality reinforces the motion of an unknown, glamorously dressed woman descending a set of stairs. The work’s silver-blue brushwork suits the elegance of the subject with her glistening evening gown and diaphanous scarf. The composition’s subject and title evoke Marcel Duchamp’s famous work Nude Descending a Staircase (1912; Philadelphia Museum of Art). When it was exhibited in the United States at the 1913 Armory Show, Duchamp’s painting shocked Americans for its radical abstraction. Rather than honoring this modernist icon, Richter protested it, stating that he “could never accept that it had put [an end], once and for all, to a certain kind of painting.” Indeed, in the Art Institute’s work, Richter produced a hauntingly sophisticated image that floats between reality and illusion.",https://www.artic.edu/artworks/147003/woman-descending-the-staircase-frau-die-treppe-herabgehend
ger_2,Vasily Kandinsky,Oil on canvas,Improvisation No. 30 (Cannons),"In his 1912 book Concerning the Spiritual in Art, Vasily Kandinsky made an analogy between music and painting as two means of abstraction, a radical mode of artmaking that freed color and line from their traditionally representational functions. Between 1910 and 1914 he produced “improvisations,” works he described as unconscious, spontaneous expressions. Kandinsky commented on Improvisation No. 30 (Cannons) in a letter to Arthur Jerome Eddy, a friend and collector from Chicago: “The cannons … could probably be explained by the constant war talk going on through the year [but] the true contents are what the spectator experiences while under the effect of the forms and color combinations of the picture.”",https://www.artic.edu/artworks/8991/improvisation-no-30-cannons
ger_3,Carl Blechen,Oil on canvas,The Interior of the Palm House on the Pfaueninsel Near Potsdam,"Lush palms and overgrown greenery dominate this view of the Palm House, a country estate designed by Karl Friedrich Schinkel to display the Prussian royals’ collection of tropical plants. This painting plays with the boundaries between architecture and nature, imagination and reality: vines curl around soaring columns and bowed fronds evoke archways. Carl Blechen populated his dazzlingly specific place-portrait with a leisure scene derived from colonialist fantasies of non-European women. The artist dressed the figures in rich textiles that echo the building’s colors and motifs, as if he considered them an extension of the décor.",https://www.artic.edu/artworks/144969/the-interior-of-the-palm-house-on-the-pfaueninsel-near-potsdam
ger_4,Paul Klee,Oil on canvas,Sunset,"Paul Klee was an artist and teacher at the Bauhaus for most of that famed school’s existence. Initially head of the bookbinding department, Klee made his greatest contribution as a lecturer on the theory of form in art for the basic design course. There, he developed his ideas about the “polyphony” of painting—the simultaneous effect of formal elements that produces “a transformed beholder of art.”Klee was also a trained musician and shared with many artists of the early twentieth century the idea that music was the key to producing a new, abstract art. He was interested in the temporal character of music and its possible translation into forms of art. Works like Sunset reflect the principles of rhythm: linear structures, forms, and tonal values are orchestrated into a measured, vibrating image. To produce such a harmonious effect, Klee layered an intricate pattern of dots over a neutral background. Abstract, geometric, and overlapping shapes balance with recognizable forms, such as the schematic face in the upper left and the red sun and arrow in the lower right. The resulting composition—balancing stillness and movement, shallowness and depth—relates to Klee’s larger project of looking to music to produce an art that “does not reproduce the visible, but makes visible.”",https://www.artic.edu/artworks/61608/sunset
ger_5,Max Beckmann,Oil on canvas,Self-Portrait,"Max Beckmann was one of the Weimar Republic’s most honored artists and one of those most vilified by the Nazis. This self-portrait was perhaps the last painting the artist completed in Berlin before he and his wife fled to the Netherlands on July 20, 1937. Their flight occurred just two days after Adolf Hitler delivered a speech condemning modern art and one day after the opening of the exhibition Degenerate Art, the Nazis’ official denigration of the avant-garde, which included twenty-two of Beckmann’s works. The artist departed Germany just in time: in 1937 more than five hundred of his works were confiscated from public collections.The most brilliantly colored and aggressive of all of Beckmann’s self-portraits (he painted over eighty), this powerful work depicts the artist, near life size, on the staircase of a hotel lobby, separated from two figures in the background on the right. Beckmann steps to the left, while his dark-rimmed gaze and the entire picture plane—curtains, flowers, staircase, and banisters—seem to slide off to the right. His large hands hang down, limp, against his black tuxedo.",https://www.artic.edu/artworks/84241/self-portrait
ger_6,Caspar David Friedrich,"Brush and black ink and gray wash, with graphite, on cream wove paper",Statue of the Madonna in the Mountains,"This vast landscape by one of the central figures of German Romanticism dates from Caspar David Friedrich’s early years in Dresden, where he settled after studying in Copenhagen (then considered the artistic center of northern Europe). Subtly graded shades of gray wash evoke the gloomy, overcast days so common in Germany in November, when this image was created. The drawing also conveys, in the artist’s words, “Not only what he sees before him, but also what he sees within him.” In the center of the landscape, atop the highest peak, a tiny pilgrim kneels in prayer at the base of a statue of the Madonna. Nature—with its sheer, blank sky, stark hills, and mute firs—is depicted almost religiously. In this deeply spiritual image, humankind’s experience of nature seems as overwhelming as the unfathomable mystery of our existence. Just as the infinitesimal pilgrim wanders in this faraway, expansive landscape, so too did the artist embark upon his own Romantic quest, a search for meaning in the natural world that reveals the sacred.",https://www.artic.edu/artworks/50276/statue-of-the-madonna-in-the-mountains
ger_7,Johann Joachim Kändler,"Hard-paste porcelain, polychrome enamels",King Vulture,"As elector of Saxony and king of Poland, Augustus II (r. 1694/97–1733) presided over the ambitious transformation of his capital, Dresden, through advances in architecture, the arts, science, and technology. Produced beginning in 1710 through royal sponsorship and funding, Meissen porcelain was an exclusive luxury good of its time. Around 1728 Augustus conceived of replicating the animal kingdom in porcelain for display in a Baroque palace that he was transforming into a showcase for his collections of Asian and Meissen ceramics. This porcelain zoo was intended for the long gallery on the main floor of the palace. By 1733, the year the king died, more than thirty different models of birds and almost forty animals had been made, many by the sculptor Johann Joachim Kändler, who worked at Meissen from 1731 to 1775. Kändler drew this vulture from life, which allowed him to animate his work with the creature’s quintessential spirit. Such porcelain animals remain the most vivid expression of Augustus’s wish, as elector and king, to possess and rule over the natural world.",https://www.artic.edu/artworks/189715/king-vulture
ger_8,,Ivory with traces of gold,Triptych with Scenes from the Life of Christ,"Ivory was used to make highly prized devotional objects in the Gothic era. This triptych features scenes from the infancy and Passion of Christ, arranged in a chronological sequence from left to right, starting at the bottom with the Annunciation, the Adoration of the Magi, and the Presentation in the Temple. The narrative continues in the top register with the Road to Calvary, Christ on the Cross, and the encounter of Christ and Mary Madgalen after the Resurrection. Such small devotional objects might be kept on a stand or cabinet in a bedroom, ready to be used as a focus for prayer by the layperson who owned them, along with an illuminated Psalter or Book of Hours. The intimate scale and movable wings of the triptych made it easy to store in a chest or to carry from one residence to another as needed. Although Paris has long been recognized as a great center for ivory carving in the Gothic era, recent scholarship has also emphasized the importance of workshops in England, Germany, and Italy—affirming the popularity of the medium throughout medieval Europe. This triptych was most likely made by a master artist and his atelier working in Germany, probably in Cologne.",https://www.artic.edu/artworks/25332/triptych-with-scenes-from-the-life-of-christ
ger_9,Katharina Fritsch,Polyester and paint; edition number two of two with one artist's proof,Monk (Mönch),"Katharina Fritsch roots her work in the personal, often drawing from childhood memories of familiar circumstances or chance encounters. At the same time, her references engage broad aspects of German folklore and culture through meticulous reproductions of quotidian objects, many of which she formally manipulates with shifts in scale and color. Her process is intensely time-consuming: molded by hand, each object is cast in plaster, reworked, and cast again, often in polyester or aluminum. The completed forms are then painted with highly saturated, matte, nonreflective colors that create a sense of otherworldliness. In Monk the artist took up the lone, brooding figure of a friar to encapsulate her fascination with Christian traditions and rituals and the mysterious medieval towns, such as Nuremberg and Bamberg, that she frequented in her youth.",https://www.artic.edu/artworks/154232/monk-monch
ger_10,Thomas Struth,"Chromogenic print mounted to acrylic, edition number three of ten","Art Institute of Chicago II, Chicago","As a student of the renowned photographers Bernd and Hilla Becher at the Kunstakademie Düsseldorf in the 1970s, Thomas Struth absorbed their objective, methodical style of making pictures, often emphasizing the camera’s single-point perspective. To his varied subject matter—city streets, rainforests, family portraits—Struth brings an acute awareness of the act of observation. His use of relatively great depth of field allows him to lead the viewer’s eye to certain details and gloss over other ones.Struth’s celebrated Museum Photographs series is composed of monumental images of museum visitors in various stages of observation, captivation, and even distraction. As part of this series, Art Institute of Chicago II depicts a woman pushing a stroller facing Gustave Caillebotte’s famous Paris Street; Rainy Day, while another woman reads the label. The women’s clothing harmonizes remarkably with the palette of the painting, and the gallery’s marble floor seems transformed into a continuation of the wet cobblestones rendered so believably by Caillebotte’s paintbrush. As historian Hans Belting concluded of this work, “One no longer knows what is inside the painting and what is in front of it… . We feel like rubbing our eyes when the space in front of the painting transforms itself into a picture that is not separated from the painting.”",https://www.artic.edu/artworks/117271/art-institute-of-chicago-ii-chicago
